"","response.docs.lead_paragraph"
"36","In an effort to contain the economic damage inflicted by the coronavirus pandemic, the Federal Reserve in March slashed interest rates by half a percentage point — its largest one-time cut since the 2008 financial crisis. In theory, that should encourage banks to offer lower mortgage rates and bring more expensive homes within reach of more buyers. But it doesn’t always work that way."
"37","When Jerome H. Powell was nominated to lead the Federal Reserve in late 2017, there was some tut-tutting about his seemingly unusual background for the job."
"38","WASHINGTON — As Congress and the White House contemplate the next phase of the government response to the coronavirus pandemic and its economic toll, Democrats and President Trump are increasingly raising the prospect of enacting a multitrillion-dollar infrastructure plan that could create thousands of jobs."
"39","WASHINGTON — From the moment President Trump made his 2016 campaign pledge to start a $1 trillion effort to rebuild the United States’ roads and bridges, infrastructure has become a constant motif of his presidency: his unfulfilled boasts about cutting big bipartisan deals, his quest for distractions from disastrous news cycles and his inability to tackle the nation’s pressing issues."
"40","A fire swept through the top floor of a Bronx apartment building on Tuesday night, killing four people and injuring one, officials said."
"41","Gerald Freedman, who directed countless plays, operas and musicals, including the original “Hair” in 1967 and more than a dozen Broadway productions, died on March 17 at his home in Winston-Salem, N.C. He was 92."
"42","Taking frequent baths may reduce the risk for cardiovascular disease, new research suggests."
"43","This briefing is no longer updating. Read the latest developments in the coronavirus outbreak here."
"44","On March 11, Dr. Miguel David De Leon — a vitreoretinal surgeon in Mindanao, the southern island of the Philippines — worked a full morning at the medical center. When he got home, “I was exhausted,” he said. But he pulled it together, lugged his camera an hour uphill and clambered into his bird hide."
"45","These are stressful times. As a result of coronavirus and the disease it causes, Covid-19, millions of Americans aren’t just worried about their health, but also about their livelihoods and their futures. At the same time, warnings abound that stress itself is bad for our health and might even make us more susceptible to the illness. The irony is obvious."
"46","Under the cover of night, in their feathered, silken, cream-colored coats, they trotted into Llandudno, a seaside town in Wales."
"47","Blue is the color of clear skies and open water. It conjures calm. But it’s not easy being blue. It’s not the easiest color to make, either."
"48","On Saturday, Tulsa, Okla., and Oklahoma City joined 43 of the nation’s 50 largest cities in America that had ordered residents to “shelter in place.”"
"49","Let’s try to look on the bright side of coronavirus politics. OK, that sounds ridiculous. Let’s look on a less neurosis-inducing side."
"50","This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday."
"51","PHILADELPHIA — My pager goes off again: The police are en route to my hospital. They’re bringing a gunshot victim. E.T.A.? Right now."
"52","On Saturday, Tulsa, Okla., and Oklahoma City joined 43 of the nation’s 50 largest cities in America that had ordered residents to “shelter in place.”"
"53","Q: Last week, I received a notice from the managing agent of my Upper Manhattan co-op that a resident had tested positive for coronavirus. The management company would not disclose where in the building the resident lives, or if the person used any building amenities before testing positive. Then, today, we received an updated notice: Going forward, the managing agent will no longer inform us of reported cases in the building. Can they really keep this information from us?"
"54","In an effort to contain the economic damage inflicted by the coronavirus pandemic, the Federal Reserve in March slashed interest rates by half a percentage point — its largest one-time cut since the 2008 financial crisis. In theory, that should encourage banks to offer lower mortgage rates and bring more expensive homes within reach of more buyers. But it doesn’t always work that way."
"55","To the Editor:"
"56","When Jerome H. Powell was nominated to lead the Federal Reserve in late 2017, there was some tut-tutting about his seemingly unusual background for the job."
"57","Ayesha Malik’s long dark hair once fell in such unbelievably perfect Botticelli curls that in 2017 she felt compelled to take to YouTube to prove to online naysayers that she didn’t use a curling iron or wear a wig."
"58","ALBANY, N.Y. — With the coronavirus outbreak racing through the state, sickening thousands of New Yorkers each day and draining the state economy, the Legislature on Friday was forced to pass a $177 billion budget that was laden with uncertainties."
"59","In the comedy “Almost Love,” romance springs from a love of one’s class. The movie follows a group of 30-something New Yorkers who support one another through various stages of relationships. Ensconced in their close-knit circle, they chatter, deeming which partners are perfect and which ones deserve the boot. But the one subject these chatty characters never touch is class, despite their obvious obsession with it."
"60","The title of this movie isn’t kidding. To answer your first question, “How lazy is this Susan?” here’s how lazy: While slumped on her sofa, she squeezes ketchup packets into her navel, creating a receptacle in which to dip her takeout French fries."
"61","The cars arrived at the food bank in southern Dallas in a stream — a minivan, a Chevrolet Tahoe, a sedan with a busted window, a Jaguar of unclear vintage. Inside the vehicles sat people who scarcely could believe they needed to be there."
"62","Readers who are used to spending their weekends in bookstores or libraries may be experiencing literary withdrawal. Many of these spaces have closed to mitigate the spread of the coronavirus."
"63","For many of us, at-home gel removal is unexplored territory. To help you navigate the task, we consulted two nail artists, Brittney Boyce and Lisa Logan, for advice. Here, the right way to remove the four most common types of long-lasting manicure — soft gels, hard gels, acrylics and dip powder nails — quickly and safely."
"64","Travel and travel planning are being disrupted by the worldwide spread of the coronavirus. For the latest updates, read The New York Times’s Covid-19 coverage here."
"65","Not all reboots deserve to exist. Lots of them aren’t even things we want."
"66","For most performing artists, the daily routine is roughly the same: rehearse, perform, rinse and repeat."
"67","PBS announced last summer that it would be showing “World on Fire,” so it can’t be accused of capitalizing on current events. Congratulate it instead on its good timing: a sweeping drama about people’s responses to the approach of a potentially world-destroying virus, in this case Nazism."
"68","I was newly living in London in the summer of 1995 when my husband had a stroke that left him partially paralyzed down his left side and, for a time, barely able to talk. I was 31. We had been married for just two months."
"69","Josh Peters had been doing it for years, but didn’t know it had a name. Whenever one of his bottles of whiskey dwindled to its last ounce or two, he would pour it into another bottle that held the remains of other whiskeys."
"70","This briefing has ended. Read our global live coverage on the coronavirus pandemic here."
"71","Jon Abrahams’s comic thriller, “Clover,” strains for the mob intrigue of Martin Scorsese and the rapturous, bloody stylization of Quentin Tarantino. It’s chock-full of gore and expletive-laden banter, but lacks the key ingredients to make it worthy of its influences: original ideas and a strong script."
"72","In the comedy “Almost Love,” romance springs from a love of one’s class. The movie follows a group of 30-something New Yorkers who support one another through various stages of relationships. Ensconced in their close-knit circle, they chatter, deeming which partners are perfect and which ones deserve the boot. But the one subject these chatty characters never touch is class, despite their obvious obsession with it."
"73","The title of this movie isn’t kidding. To answer your first question, “How lazy is this Susan?” here’s how lazy: While slumped on her sofa, she squeezes ketchup packets into her navel, creating a receptacle in which to dip her takeout French fries."
"74","This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday."
"75","Photographed like a dream and experienced like a nightmare, the religious cult at the center of “The Other Lamb” looks idyllic on the outside, but, like the bird’s carcass stumbled upon by the film’s heroine, is teeming with maggots inside."
"76","People who are presumed to have coronavirus are being asked to self-quarantine. Medical workers need to take special precautions when coming home from work at the end of the day. For parents of young children, these scenarios create new challenges at home. If you have had to separate from your family, or if you live with someone who has, we want to hear your story. "
"77","To the Editor:"
"78","As the virus continues to spread throughout the nation, an analysis of cellphone data shows that those in the wealthiest areas have been able to reduce their movements more than those in the poorest areas."
"79","Jan. 19, 2025"
"80","Before the coronavirus crisis gets better, it will get worse: more death, more economic pain — and therefore more need for Congress to adopt relief measures for the American people."
"81","For Americans sheltering at home during the coronavirus pandemic, the Zoom videoconferencing platform has become a lifeline, enabling millions of people to easily keep in touch with family members, friends, students, teachers and work colleagues."
"82","I am a little figure on a big green map."
"83","People who are presumed to have coronavirus are being asked to self-quarantine. Medical workers need to take special precautions when coming home from work at the end of the day. For parents of young children, these scenarios create new challenges at home. If you have had to separate from your family, or if you live with someone who has, we want to hear your story. "
"84","NEW DELHI — Ana Pautler, a trekker from San Francisco, was partway up a Himalayan mountain trail in Nepal when she noticed something peculiar: People were turning around."
"85","To the Editor:"
"86","To the Editor:"
"87","Every Friday, pop critics for The New York Times weigh in on the week’s most notable new songs and videos. Just want the music? Listen to the Playlist on Spotify here (or find our profile: nytimes). Like what you hear? Let us know at theplaylist@nytimes.com and sign up for our Louder newsletter, a once-a-week blast of our pop music coverage."
"88","The Finns have a tradition of getting drunk at home in their underwear. It’s so commonplace there is a word for it, “kalsarikännit,” as well as two emojis: a man in gray underwear with pint of beer, and a woman in a polka-dot slip with a glass of red wine."
"89","You’re reading this week’s At War newsletter. Sign up here to get it delivered to your inbox every Friday. Email us at atwar@nytimes.com."
"90","Do you love to travel? Do you seek out new experiences and adventures?"
"91","Until a few months ago, most of us didn’t give hand sanitizer much thought. Now it’s sold out around the world, prompting a variety of do-it-yourself recipes that are designed to be mixed up in a home kitchen."
"92","For Americans sheltering at home during the coronavirus pandemic, the Zoom videoconferencing platform has become a lifeline, enabling millions of people to easily keep in touch with family members, friends, students, teachers and work colleagues."
"93","This article is part of the On Tech newsletter. You can sign up here to receive it weekdays."
"94","FRIDAY PUZZLE — Wait, what day is it? It’s becoming harder to keep track since I’ve been working from home. But we have a theme on … it’s Friday, right?"
"95","Americans bought about two million guns last month, according to a New York Times analysis of federal data."
"96","WASHINGTON — President Trump said on Friday that the Centers for Disease Control and Prevention was urging all Americans to wear a mask when they leave their homes, but he immediately undercut the message by repeatedly calling the recommendation voluntary and promising that he would not wear one himself."
"97","WASHINGTON — President Trump on Friday nominated Judge Justin Walker, a protégé of Senator Mitch McConnell, to a vacancy on the influential United States Court of Appeals for the District of Columbia Circuit, touching off what is likely to be a contentious confirmation fight in the Senate."
"98","Joyce Sanz recently called Comcast hoping to reduce the $164 each month her family pays for cable television and internet. An after-school program manager at an elementary school in Miami, Sanz wanted to trim expenses in case the economic fallout related to the coronavirus pandemic lasts months."
"99","The Pakistani authorities said Friday that four men had been rearrested in the abduction and killing of the American journalist Daniel Pearl after a court overturned their convictions just the day before. The government will appeal their acquittals to Pakistan’s Supreme Court, officials said."
"100","Here is an email from a woman in Alabama to Katie Rosenfeld, a civil rights lawyer in New York, pleading for help for a loved one incarcerated inside an Alabama state prison where the coronavirus is beginning to spread:"
"101","One prediction seems solid: The coronavirus epidemic will get much worse in the United States in coming weeks. But where the stock market is heading is much less certain."
"102","A surge in coronavirus deaths in the United States has prompted the vast majority of governors to order their residents to stay home, but a small number of states are resisting increasingly urgent calls to shut down."
"103","The list of presidential failures is long and varied. But when it comes to failure in the face of an external force — a natural disaster or an economic meltdown — it is difficult to find anything as catastrophic as President Trump’s handling of the coronavirus outbreak, even at this early stage of the crisis."
"104","The Times asked Olympic and Paralympic athletes from around the world to make videos about the postponed Summer Games, and what life is like stuck at home. Here’s what they told us."
"105","A month ago, Nick Stone had a $50 million coffee business, with dozens of cafes in bustling downtowns."
"106","Making sense of the coronavirus pandemic requires getting up to speed on semantics as much as epidemiology."
"107","Under the cover of night, in their feathered, silken, cream-colored coats, they trotted into Llandudno, a seaside town in Wales."
"108","These are stressful times. As a result of coronavirus and the disease it causes, Covid-19, millions of Americans aren’t just worried about their health, but also about their livelihoods and their futures. At the same time, warnings abound that stress itself is bad for our health and might even make us more susceptible to the illness. The irony is obvious."
"109","Blue is the color of clear skies and open water. It conjures calm. But it’s not easy being blue. It’s not the easiest color to make, either."
"110","Taking frequent baths may reduce the risk for cardiovascular disease, new research suggests."
"111","Nestled in South Africa’s Cradle of Humankind, the Drimolen paleocave is an amphitheater hosting the remains of ancient ancestors of humans. Most famous among the hominins found there are Orpheus and Eurydice, a pair of Paranthropus robustus unearthed in 1994 and named after the lovers from Greek mythology. They are just two of more than 160 fossilized specimens of our extinct early relatives dug up at the roofless cave."
"112","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together."
"113","HOUSTON — A coronavirus outbreak at a San Antonio nursing home has infected 67 of the facility’s 84 residents, killing one, the largest spread of the virus at a Texas long-term care facility, city and county officials said on Friday."
"114","On March 11, Dr. Miguel David De Leon — a vitreoretinal surgeon in Mindanao, the southern island of the Philippines — worked a full morning at the medical center. When he got home, “I was exhausted,” he said. But he pulled it together, lugged his camera an hour uphill and clambered into his bird hide."
"115","These are stressful times. As a result of coronavirus and the disease it causes, Covid-19, millions of Americans aren’t just worried about their health, but also about their livelihoods and their futures. At the same time, warnings abound that stress itself is bad for our health and might even make us more susceptible to the illness. The irony is obvious."
"116","Under the cover of night, in their feathered, silken, cream-colored coats, they trotted into Llandudno, a seaside town in Wales."
"117","Blue is the color of clear skies and open water. It conjures calm. But it’s not easy being blue. It’s not the easiest color to make, either."
"118","Taking frequent baths may reduce the risk for cardiovascular disease, new research suggests."
"119","Doctors and nurses responding to the Covid-19 pandemic are the superheroes of our age, putting themselves at risk to save the lives of others."
"120","Chia Liang is a pharmacist manager at the Walgreens in Jackson Heights, Queens, near one of the neighborhoods hit hardest by the coronavirus. Her Sunday shift there, from 10 a.m. to 2 p.m., has remained one of the few details of her day that has not changed in recent weeks. Ms. Liang, 31, lives with her husband, Adam, 34, a car mechanic, and Cody, their Maltese, in a two-family home in Elmhurst, Queens, where she grew up. Her parents and younger brother live downstairs."
"121","The interactive graph above, showing the bus ridership among the 15 largest transit agencies for 2011 to 2020, appeared elsewhere on NYTimes.com. The graph below shows bus ridership for four additional cities."
"122","WASHINGTON — Five weeks ago, when there were 60 confirmed cases of the coronavirus in the United States, President Trump expressed little alarm. “This is a flu,” he said. “This is like a flu.” He was still likening it to an ordinary flu as late as Friday."
"123","DETROIT — Dwight Jones, my high school basketball coach, died on Monday from the coronavirus. He had devoted 50 years of his life to helping young men and women, using his quick wit to get his point across."
"124","WASHINGTON — Speaker Nancy Pelosi, moving aggressively to scrutinize the Trump administration’s handling of the coronavirus pandemic, said Thursday that she would seek to create a special bipartisan committee to oversee all aspects of the government’s response, including how it distributes more than $2 trillion in emergency aid."
"125","Automakers reported a plunge on Wednesday in new-vehicle sales as fear of the coronavirus and stay-at-home orders kept consumers from dealerships, adding to the troubles of the country’s largest manufacturing sector."
"126","The Covid-19 pandemic is stretching our public health system to its limits and challenging our ability to meet the urgent and critical medical needs of the country as never before. As executives responsible for the legal affairs of major hospitals and lawyers working in Covid-19 hot spots, we know how crucial it is to have every available front-line medical worker fighting this pandemic."
"127","“When I was a kid, there was lots and lots of free play with no parental interaction. My kids cannot be alone for five minutes. WHERE DID WE GO WRONG?”"
"128","When the governor of Virginia announced that schools would remain closed through the end of the academic year because of the coronavirus pandemic, Edrenna Johnson started crying. She took that afternoon off work and ate brownies with her 5-year-old, wondering how she was going to get through three more months of working from home and taking care of her son on her own. Johnson thought she had found a balance, until her son came up to her while she was on a work call and whispered, “Mommy, I miss you,” in her ear. She felt deflated."
"129","When I spoke to her for last week’s newsletter about long-term effects of the coronavirus pandemic on children, Rahil Briggs, Psy.D., mentioned the metaphor of the dandelion and the orchid. It’s a theory developed by Dr. Thomas Boyce, M.D., a pediatrician and researcher, and it posits that the vast majority of children are “dandelions” — pretty resilient and able to deal with stress as it comes."
"130","You’re one of the millions of Americans working from home. You’ve finished a few books, watched countless hours of television and maybe even dug out an old board game or two. What you aren’t: a gamer. Maybe you had an infatuation with the Sims that petered out in college or secretly dabble with Candy Crush. Maybe you’ve never played a video game. Perhaps you’re intimidated or just think gaming isn’t for you."
"131","Traveling the country in 1866, the showman P.T. Barnum sparred with the founder of the A.S.P.C.A. Having learned of a mauling at a Long Island zoo in 1933, one woman wrote to her newspaper, “it makes one wonder why these roadside ‘zoos’ are allowed.”"
"132","Of all the shocks in the new Netflix true-crime series “Tiger King: Murder, Mayhem and Madness” — and they are myriad — few are more singular, more head-tiltingly odd than the scenes in which the show’s protagonists, particularly the sideshow zoo captain Joe Exotic, interact with animals."
"133","The interactive graph above, showing the bus ridership among the 15 largest transit agencies for 2011 to 2020, appeared elsewhere on NYTimes.com. The graph below shows bus ridership for four additional cities."
"134","Not all reboots deserve to exist. Lots of them aren’t even things we want."
"135","This briefing has ended. Read our global live coverage on the coronavirus pandemic here."
"136","On March 11, Dr. Miguel David De Leon — a vitreoretinal surgeon in Mindanao, the southern island of the Philippines — worked a full morning at the medical center. When he got home, “I was exhausted,” he said. But he pulled it together, lugged his camera an hour uphill and clambered into his bird hide."
"137","Josh Peters had been doing it for years, but didn’t know it had a name. Whenever one of his bottles of whiskey dwindled to its last ounce or two, he would pour it into another bottle that held the remains of other whiskeys."
"138","Arianne Caoili, a chess master and a prominent figure both in the chess world and in Armenia, where she lived, died on Monday in Yerevan, the country’s capital. She was 33."
"139","Several high-priced luxury homes that were under contract before the coronavirus outbreak have closed in March, including the biggest sale so far this year — another full-floor aerie at 220 Central Park South. But sales are expected to plummet in the weeks ahead as the pandemic continues to take its toll on the New York region."
"140","Amber, or fossil tree resin, exists in rock layers all over the world. But for some reason, paleontologists never found much of it in Australia or New Zealand."
"141","This briefing has ended. Read our global live coverage on the coronavirus pandemic here."
"142","This briefing is no longer updating. Read the latest developments in the coronavirus outbreak here."
"143","Long before he began feeding his obsession and even found himself sitting next to its hosts, Rui Hachimura didn’t understand all the fuss about the Japanese reality television show “Terrace House.” His high school teammates in Japan had tried hard to get him on board."
"144","Gerald Freedman, who directed countless plays, operas and musicals, including the original “Hair” in 1967 and more than a dozen Broadway productions, died on March 17 at his home in Winston-Salem, N.C. He was 92."
"145","Hello, Five Weeknight Dishes readers. Of all the new kitchen responsibilities I currently have, cleaning ingredients with bleach solution and disinfectant is the hardest to wrap my mind around. We don’t have to worry about screen time, but we do have to worry about salad? All of this is very time-consuming and upsetting, and anything you decide to do about dinner is OK right now."
"146","Readers who are used to spending their weekends in bookstores or libraries may be experiencing literary withdrawal. Many of these spaces have closed to mitigate the spread of the coronavirus."
"147","Making sense of the coronavirus pandemic requires getting up to speed on semantics as much as epidemiology."
"148","The first Saturday in March now seems like a decade ago. New Yorkers were not yet sheltering at home to slow the spread of the coronavirus, and on that night Franca Vercelloni was more immediately concerned with taming the noisy crowd at Marie’s Crisis, the storied Greenwich Village piano bar known for show-tune singalongs."
"149","I was newly living in London in the summer of 1995 when my husband had a stroke that left him partially paralyzed down his left side and, for a time, barely able to talk. I was 31. We had been married for just two months."
"150","Not all reboots deserve to exist. Lots of them aren’t even things we want."
"151","Travel and travel planning are being disrupted by the worldwide spread of the coronavirus. For the latest updates, read The New York Times’s Covid-19 coverage here."
"152","This obituary is part of a series about people who have died in the coronavirus pandemic. Read about others here."
"153","Hilda Churchill survived the Great War, the 1918 Spanish flu pandemic that claimed her baby sister, and World War II, but eight days before her 109th birthday she became Britain’s oldest recorded victim of the coronavirus."
"154","This obituary is part of a series about people who have died in the coronavirus pandemic. Read about others here."
"155","This obituary is part of a series about people who have died in the coronavirus pandemic. Read about others here."
"156","We have never experienced a lockdown like this. Public and personal spaces have been transformed almost overnight. With so many new rules to follow, it’s understandable to feel destabilized. But we should still strive to be our best selves as we go about our day."
"157","Jane King, a financial investor from Boston who describes herself as progressive, began the presidential primary as an avowed supporter of Senator Elizabeth Warren of Massachusetts. But as Ms. Warren’s candidacy seemed to fade early this year, Ms. King looked elsewhere."
"158","In a city known for parades and saying hello to your neighbors, the change brought about by social distancing is stark."
"159","Children under quarantine are enjoying an excess of “screen time,” if only to give their overtaxed parents a break. But there’s no reason they can’t learn a few things in the process. These nature documentaries have educational value for the whole family, while also offering a chance to experience the great outdoors from inside your living room."
"160","Watching documentaries is an excellent way to stay informed about what’s really happening in the world: from unsolved murders to political corruption to quietly escalating global crises. But nonfiction films don’t have to be total bummers. For those Netflix subscribers who love docs — but who just can’t imagine sitting through something heavy right now — here’s a list of enlightening, entertaining and even uplifting documentaries, to brighten up your darker days."
"161","In a city known for parades and saying hello to your neighbors, the change brought about by social distancing is stark."
"162","Joseph R. Biden Jr. has spoken with former President Barack Obama about the process of selecting a running mate."
"163","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"164","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"165","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"166","A detailed chart shows the extent of the coronavirus outbreak."
"167","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"168","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"169","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"170","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"171","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"172","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"173","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"174","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"175","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"176","TOKYO — The exhibits in the Japan Olympic Museum in central Tokyo, near the new $1.4 billion national stadium, are devoted primarily to the history of the Olympics and Japan’s participation, most notably in 1964, when Tokyo last hosted the Summer Games."
"177","HIDDEN VALLEY ROADInside the Mind of an American FamilyBy Robert Kolker"
"178","Even before coronavirus prompted a stay-at-home order for New York City, Dana Shakarchy, 33, decided to flee her apartment on the Upper West Side for her childhood home in Great Neck."
"179","My father, an undocumented immigrant from Ecuador, used to take me to water parks every summer back when he could drive. He did it because commercials for water parks were featured prominently on local television and they depicted children acting carefree and wild and I was not carefree or wild and it weighed on him, so he insisted I try."
"180","NASHVILLE — On March 22, when Nashville’s mayor John Cooper closed nonessential businesses here, it was a terrible blow to companies and shops still reeling from the tornado that tore through Middle Tennessee on Super Tuesday. Small businesses struggle in the best of times, and a one-two punch like that — a natural disaster followed by a lethal pandemic — will almost certainly force some of them to close for good."
"181","The most important new policy the government can implement to contain the spread of Covid-19 is to immediately recommend that everyone wear masks or face-coverings in public — #masksforall."
"182","BOSTON — I was not sure what to say."
"183","In Lodi, Calif., a man wearing a “tactical-type vest” stopped a man in a park and told him he was violating curfew and needed to hand over $1,000 or go to jail."
"184","In the age of coronavirus, the only way you can see Milan is to fly through it."
