"","response.docs.lead_paragraph"
"82","Good morning. Happy new year. How’s the cabeza? Today’s reading is from Kingsley Amis’s “Lucky Jim,” the true Gospel of hangover literature:"
"83","The American drone attack near the Baghdad airport early Friday that killed Maj. Gen. Qassim Suleimani, the powerful Iranian commander, drastically ratcheted up tensions between Washington and Tehran, threatening to tip hostilities into war."
"84","Kick off the new year right and pick up the brand-new Smarter Living book! We’ve pulled together the best of S.L., plus loads of new advice and guidance, to give you smart, actionable life tips on how to improve your career, your home, your finances, your relationships and your health — all wrapped up in a truly gorgeous book perfect for New Year, New You resolutions. Get your copy here!"
"85","BERLIN — Seven months after his coalition with the far right collapsed in a spectacular scandal, Sebastian Kurz, Austria’s former conservative chancellor, stood before television cameras on Thursday and announced a new government — this time with the progressive Greens. "
"86","UNCANNY VALLEYA MemoirBy Anna Wiener"
"87","Everyone has his or her own definition of a political crisis. Mine is when our collective mental health starts having a profound effect on our politics — and vice versa."
"88","Steve McQueen piloted it in the movie “Bullitt,” and for the next 50 years it was mostly a ghost. Now it’s heading to auction, and the speedy dark-green 1968 Ford Mustang fastback is expected to break records when it crosses the block next week at a Mecum event in  Florida."
"89","He changed the shape of the Syrian civil war and tightened Iran’s grip on Iraq. He was behind hundreds of American deaths in Iraq and waves of militia attacks against Israel. And for two decades, his every move lit up the communications networks — and fed the obsessions — of intelligence operatives across the Middle East. "
"90","WEST PALM BEACH, Fla. — Iran’s top security and intelligence commander was killed early Friday in a drone strike at Baghdad International Airport that was authorized by President Trump, American officials said."
"91","On a recent visit to my hometown by the Yangtze River in eastern China, relatives welcomed me, as ever, with a feast: steamed perch and hairy crab, deep-fried river shrimp — and braised pork. My 84-year-old father made sure to serve pork, even though it was now twice as expensive as the year before. This time, he didn’t get the meat from my brother, who until this fall had been the village’s largest pork producer: All 150 pigs on my brother’s farm had either died or been culled because of African swine fever."
"92","Eight-year-old Blake Collie was at the swimming pool when he got a frightening headache. His parents rushed him to the emergency room only to learn he had a brain aneurysm. Blake spent nearly two months in the hospital. "
"93","A full-grown T. rex was probably the most fearsome sight of the Cretaceous: It stood two stories tall, stretched the length of a city bus and boasted jaws that could crush the bones of a triceratops."
"94","President Trump said Friday afternoon that the airstrike that killed Maj. Gen. Qassim Suleimani, the powerful Iranian commander, was ordered “to stop a war” and prevented attacks on Americans."
"95","[Race affects our lives in countless ways. To read more provocative stories on race from The Times, sign up for our Race/Related newsletter here.]"
"96","Martin Scorsese is the most alive he’s been in his work in a long time, brimming with renewed passion for filmmaking and invigorated by the reception that has greeted his latest gangland magnum opus, “The Irishman.” "
"97","BRUNY ISLAND, Australia — Australia today is ground zero for the climate catastrophe. Its glorious Great Barrier Reef is dying, its world-heritage rain forests are burning, its giant kelp forests have largely vanished, numerous towns have run out of water or are about to, and now the vast continent is burning on a scale never before seen. "
"98","The assassination of Maj. Gen. Qassim Suleimani of Iran by the United States was an unprecedented escalation in the 40-year standoff between the two countries. General Suleimani was the powerful head of Iran’s Islamic Revolutionary Guards Corps’ special operations forces, the Quds Force, and we can expect retaliation across the region. But the killing will not in itself weaken the Revolutionary Guards or Iran’s role in the region."
"99","A group of Democratic state officials and the Democratic-led House of Representatives on Friday asked the Supreme Court to take up a case with the potential to wipe away the entire Affordable Care Act."
"100","LONDON — After Britain’s Labour Party suffered its worst defeat since 1935 in last month’s election, a chorus of critics faulted the party for losing touch with its working-class roots in the industrial north and becoming too closely identified with the left-wing, London-centered politics of its leader, Jeremy Corbyn."
"101","Happy New Year! On this first day of 2020, I’m reflecting on the parenting stories that moved me from the past year. What I love about covering this beat is that how we raise children touches on every topic imaginable: Money, privilege, politics, race, business and technology are all represented in my best-of list, in no particular order. Parenting also involves a range of emotions — the experience can bring you to places you didn’t know existed in yourself. I included that here as well, from the tragic to the ridiculous to the sublime. "
"102","PASADENA, Calif. — If it was not exactly a decisive moment in the 106th Rose Bowl game, it was nevertheless a moment for which these Oregon Ducks had been built. "
"103","Featured Article: “The Machines Are Learning, and So Are the Students” by Craig S. Smith"
"104","(Want to get this briefing by email? Here’s the sign-up.)"
"105","THURSDAY PUZZLE — When anyone begins a new endeavor — let’s say they start solving crossword puzzles — it is easiest to learn when the overall format is at least somewhat predictable. This is why we encourage new solvers to start with Monday puzzles, where the theme entries are often positioned in roughly the same places and are highly visible. Or at least recognizable."
"106","A lawsuit that accused the actor Kevin Spacey of sexually assaulting a massage therapist in 2016 ended after the accuser’s estate dropped the case, court documents filed on Monday show."
"107","To the Editor:"
"108","Do you make New Year’s resolutions? Why or why not?"
"109","(Want to get this briefing by email? Here’s the sign-up.)"
"110","In the constant search for a vaccine against tuberculosis — which now kills more people around the world than any other infectious disease — researchers have made an unusual discovery."
"111","As the first trailer for “A Quiet Place Part II” opens, the world has apparently returned to relative normalcy.  Evelyn Abbott (Emily Blunt) even drives down a small-town street with her three children in tow. The peace lasts for only a few seconds, and then the deadly extraterrestrial creatures who terrorized her family in the original horror movie, a sleeper hit in 2018,  reappear to create havoc."
"112","Changing your diet may help you feel better. A roundup of food advice from the year in Well."
"113","Fazle Abed, who started a temporary relief effort for refugees in Bangladesh that became one of the largest nongovernmental organizations in the world, died on Dec. 20 in a hospital in Dhaka, the capital of Bangladesh. He was 83."
"114","The Trump administration is expected to announce this week that it will ban mint-, fruit- and dessert-flavored e-cigarette cartridges popular with teenagers, but allow menthol and tobacco flavors to remain on the market."
"115","In the constant search for a vaccine against tuberculosis — which now kills more people around the world than any other infectious disease — researchers have made an unusual discovery."
"116","In the 10 months since Richard Plepler stepped down as HBO’s chief executive, the final season of “Game of Thrones” came and went, CBS and Viacom merged, and Disney and Apple rolled out new streaming services."
"117","An article on Tuesday about Carlos Ghosn’s escape from Japan misstated the total amount Carlos Ghosn paid in bail. It was 1.5 billion yen, or about $13.8 million, not $9 million. The error was repeated in two other articles on Wednesday."
"118","Eight people including the chief of Taiwan’s armed forces were killed Thursday after the military helicopter carrying them crashed on a mountainside during a routine trip, Taiwan’s military said."
"119","The Egyptian authorities said on Thursday that they were investigating a video of a woman being attacked by a mob of men that has ignited widespread outrage over the country’s longstanding problems with sexual violence."
"120","And the Debutante Cotillion held a Christmas Ball."
"121","The accusations in a new lawsuit against Johnson & Johnson sound familiar: The consumer goods giant knew for decades that its baby powder and other talc-based products were contaminated with carcinogenic asbestos, but continued to market the items."
"122","A man was captured on home security camera footage confessing to the murder of his sister on Friday, shortly after she was stabbed to death in a Texas home, the authorities said."
"123","In the spring of 1916, a bootlegger in Idaho escaped from jail by hiding a saw in his shoe and using it to cut his way out of his cell. A few months later, the man murdered his common law wife by “beating her brains out with an ax,” according to a local newspaper."
"124","Last year, for R. Kelly and the women he is accused of abusing, everything changed — and the Lifetime documentary series “Surviving R. Kelly” was a big reason. "
"125","Paying the parking meter is a daily headache for many drivers in New York City, and with the stroke of the new year, it became even more maddening."
"126","The New York Musical Festival, which paved a path to exposure for the creators of new musicals — even landing a few shows eventually on Broadway — has shut down after 15 years. "
"127","WASHINGTON — The United States and Iran exchanged escalating military threats on Friday as President Trump warned that he was “prepared to take whatever action is necessary” if Iran threatened Americans and Iran’s supreme leader, Ayatollah Ali Khamenei, vowed to exact vengeance for the killing on Mr. Trump’s order of Iran’s most valued general."
"128","More than any other American military operation since the invasion of Iraq, the assassination yesterday of Maj. Gen. Qassim Suleimani, the head of Iran’s Qods Force of its Islamic Revolutionary Guards Corps, is a seismic event. The killings of Osama bin Laden and Abu Bakr al-Baghdadi, the leaders of al-Qaeda and the Islamic State, were certainly meaningful, but they were also largely symbolic, because their organizations had been mostly destroyed. Taking out the architect of the Islamic Republic’s decades-long active campaign of violence against the United States and its allies, especially Israel, represents a tectonic shift in Middle Eastern politics."
"129","This fire season has been one of the worst in Australia’s history, with at least 15 people killed, hundreds of homes destroyed and millions of acres burned. And summer is far from over."
"130","JAKARTA, Indonesia — Flash floods killed at least 43 people and left hundreds of thousands homeless in Jakarta, the Indonesian capital, the authorities said on Friday, after the city’s most intense period of rainfall since record keeping began more than 20 years ago. "
"131","All year long as Earth revolves around the sun, it passes through streams of cosmic debris. The resulting meteor showers can light up night skies from dusk to dawn, and if you’re lucky you might be able to catch a glimpse."
"132","President Trump entered the new year facing flare-ups of long-burning crises with two old adversaries — Iran and North Korea — that are directly challenging his claim to have reasserted American power around the world."
"133","In 1805, the Baroness Hyde de Neuville (1771-1849) chased Napoleon Bonaparte’s army across Europe in order to obtain a pardon for her husband, an aristocrat accused of conspiring to assassinate the arriviste French emperor. Her plea succeeded, the Neuvilles were banished to America, and so starts the story of “Artist in Exile: The Visual Diary of Baroness Hyde de Neuville” at the New-York Historical Society."
"134","#SpeakingInDance is a weekly visual exploration of dance on Instagram. Watch the video from our most recent post below, and follow us at @nytimes."
"135","New York is home to the first Jewish congregation in the United States, Shearith Israel, founded in 1654 by Jews who had been expelled from Brazil by the Portuguese."
"136","The Yankees learned on Thursday that Domingo German, the young pitcher who led the team in victories last season, will be suspended until early June under Major League Baseball’s domestic violence policy."
"137","The lawyer Lea Tsemel is a contentious figure in Israel. She is known for representing Palestinian defendants, especially in cases in which Israeli sentiment appears starkly stacked against her, such as those that involve violent attacks. Depending on your perspective, Tsemel is either a principled believer in the concept of presumed innocence or an apologist for bloodshed."
"138","ISTANBUL — Turkey’s Parliament approved plans on Thursday to send troops to Libya, escalating what has become a chaotic proxy war between multiple powers for control of the oil-rich country."
"139","JERUSALEM — With Prime Minister Benjamin Netanyahu under indictment, Israel’s Supreme Court on Thursday refused to weigh in on whether a prime ministerial candidate charged with serious crimes can be asked to form a new government."
"140","A Texas judge ruled on Thursday that a hospital’s plan to remove an 11-month-old girl from life support over her family’s objections could proceed, the latest twist in a case that has drawn notice from conservatives around the state."
"141","Looking back at the 2020s from our vantage point in 2030, the first great event was the complete destruction of Donald Trump’s Republican Party. As the former Republican consultant Mike Murphy had noticed, there were roughly 300 state and federal elections during the Trump years and Republicans did horribly in most of them. The 2020 vote was a continuation of that trend. Trump’s landslide defeat left him humiliated, and the Republicans lost their Senate majority."
"142","Three friends gave me a gift card for my birthday several months ago. When I tried to use it recently, the balance showed zero. But that wasn’t possible; the card had never left my wallet. The store manager discovered that one of my friends (who purchased the card) went back to the store with her receipt, had the card reissued and used it to buy a dress. The manager gave me all the documents. I couldn’t believe it! When I told my other two friends, they were furious. They had all contributed equally to the card. They say I have to confront her. I don’t know what to do. Advice?"
"143","Sam Wyche, who was the last coach to lead the Cincinnati Bengals to the Super Bowl, but who was later fined by the National Football League for barring a female reporter from the team’s locker room, died on Thursday at his home in Pickens, S.C. He was 74. "
"144","This week, Annalisa Quinn reviews John L’Heureux’s story collection “The Heart Is a Full-Wild Beast.” In 1984, L’Heureux wrote for the Book Review about “The Best American Short Stories 1984,” selected by John Updike."
"145","To the Editor:"
"146","THE SCHOOLHOUSE GATE: Public Education, the Supreme Court, and the Battle for the American Mind, by Justin Driver. (Vintage, $17.95.) Driver, a Yale law professor, surveys the history of legal controversies over students’ rights in public schools, including segregation, flag saluting and corporal punishment, which is still legal in 22 states. Our reviewer, Dana Goldstein, called the book “indispensable.” "
"147","In a ruling on one of the art world’s notable #MeToo lawsuits, a court found that Artforum magazine can be held responsible for retaliation against a former employee — but that Knight Landesman, the influential former publisher whom the employee accused of sexual harassment, legally remains in the clear."
"148","To the Editor:"
"149","SAN DIEGO — In 2020, the Federal Reserve is hoping to give patience another try."
"150","Fazle Abed, who started a temporary relief effort for refugees in Bangladesh that became one of the largest nongovernmental organizations in the world, died on Dec. 20 in a hospital in Dhaka, the capital of Bangladesh. He was 83."
"151","As the first trailer for “A Quiet Place Part II” opens, the world has apparently returned to relative normalcy.  Evelyn Abbott (Emily Blunt) even drives down a small-town street with her three children in tow. The peace lasts for only a few seconds, and then the deadly extraterrestrial creatures who terrorized her family in the original horror movie, a sleeper hit in 2018,  reappear to create havoc."
"152","Changing your diet may help you feel better. A roundup of food advice from the year in Well."
"153","A man was captured on home security camera footage confessing to the murder of his sister on Friday, shortly after she was stabbed to death in a Texas home, the authorities said."
