"","response.docs.lead_paragraph"
"68","First, there was “Sideways” the novel, and then the Academy Award-winning film about a guy who takes a friend on a California wine tour to show that pinot noir is better than merlot. Now it will be onstage presented by the Peccadillo Theater Company and Close Quarter Productions. Called “Sideways the Experience,” it was adapted by Rex Pickett, the author of the book, and for some ticket-holders, the performance will include a food  and wine tasting (merlot included) by the caterer Mary Giuliani onstage before the show begins, as well as wines — selected and provided by Wine Access — to sip during the performance."
"69","Aperitif liqueurs, both imported and domestic, continue to gain in popularity. Select, an example from Venice that’s been around for 100 years, hit the American market late last summer, and, with its ruby color, suits a Valentine toast. The blend of botanicals includes a good dose of juniper and was created by the brothers Mario and Vittorio Pilla. It’s a touch mellower than some of its competitors and is a key ingredient in the spritz, made like most with three parts Prosecco, two of Select and a spray of soda water, but distinguished in Venice by the addition of a big fat green olive."
"70","It was no secret that Tommy Valva was suffering."
"71","It was no secret that Tommy Valva was suffering."
"72","LOS ANGELES — When Jaden Taylor, 17, pulled a mask off his face at Los Angeles International Airport on Sunday morning and smiled at the customs officer, who gave him a thumbs-up, it was much more than the end of a 12-hour flight from Shanghai."
"73",""
"74","Follow live coverage and analysis from Times reporters."
"75","See results from every precinct in the Iowa Democratic caucus."
"76","Detailed results and maps for the G.O.P. primaries and caucuses."
"77","See how many delegates are available in each state."
"78","The asteroid moved 24 times faster than a rifle bullet as it struck Earth some 66 million years ago. Its supersonic shock wave flattened trees across North and South America, and its heat wave sparked incomprehensibly large forest fires."
"79","The number of confirmed coronavirus cases in the United States nearly doubled on Monday after federal officials announced that 14 Americans evacuated from a cruise ship in Japan and flown back to this country had tested positive for the virus. That brought the number of known cases in this country to 29."
"80","Before his killing, Maj. Gen. Qassim Suleimani of Iran was everywhere. His persona is a clue into how the elite Quds Force he commanded operates."
"81","Students at Watkins College of Art in Nashville describe it as an oasis in the Bible Belt, a small supportive campus welcoming to all and committed to free expression."
"82","Running a street food cart is backbreaking work: schlepping around a heavy cart, then standing behind it for hours on end. Quitting the job would seem to be a gift to aching feet."
"83","DES MOINES — Every spring, the Washington impresario Tammy Haddad hosts a charity brunch before the White House Correspondents’ Dinner that is a required stop for reporters, editors, network news anchors and political operatives."
"84","WASHINGTON — In a sign of continuing turmoil at the Department of Veterans Affairs, a deputy secretary in charge of key initiatives was dismissed on Monday, just as the agency rolls out complex changes to its health care system and a plan to address veterans suicide."
"85","MELBOURNE, Australia — Men’s and women’s tennis are in drastically different phases. The men have a triopoly that could quickly transform into a monopoly if Novak Djokovic stays fresh and focused. The women have something closer to mob rule with new winners emerging at a madcap clip."
"86","LONDON — The British government proposed on Monday stopping the early release of hundreds of terrorism convicts after a succession of attacks by people let out halfway through their prison terms underscored long-festering problems with its anti-terrorist strategy."
"87","BOSTON — YouTube said on Monday that it planned to remove misleading election-related content that can cause “serious risk of egregious harm,” the first time the video platform has comprehensively laid out how it will handle such political videos and viral falsehoods."
"88","HONG KONG — Hong Kong’s government said Monday that it would close more border checkpoints, as some medical workers went on strike to demand a complete ban on entries from mainland China to limit the outbreak of the new coronavirus."
"89","Elisabeth Akinwale was a devoted social worker, until a new passion pushed her to pursue weightlifting. Now, she’s a national fitness champion and owns her own gym. Discover how she’s changing the face of competitive weightlifting and inspiring others on their own fitness journeys."
"90","BECOMING A MANThe Story of a TransitionBy P. Carl"
"91","Some children lost a stable home when a parent succumbed to opioid addiction. Others were forced to stay in hotels after hurricanes or fires destroyed their homes. Still others fled abuse or neglect."
"92","WUHAN, China — A mysterious illness had stricken seven patients at a hospital, and a doctor tried to warn his medical school classmates. “Quarantined in the emergency department,” the doctor, Li Wenliang, wrote in an online chat group on Dec. 30, referring to patients."
"93","Students"
"94","When Kobe Bryant died on Jan. 26, there was an outpouring of grief for the legendary N.B.A. champion. Sports fans placed bouquets of flowers at his high school and held a vigil outside the Staples Center. Shaquille O’Neal, his friend, rival and former Lakers teammate, cried on TV while giving an emotional tribute."
"95","As a child of immigrants, a grandchild of refugees, a Deaf woman of color, an artist and a mother, I was proud to perform the national anthem and “America the Beautiful” in American Sign Language at the opening of the Super Bowl on Sunday. I accepted the invitation to represent the National Association of the Deaf in partnership with the National Football League because I wanted to express my patriotism and honor the country that I am proud to be from — a country that, at its core, believes in equal rights for all citizens, including those with disabilities. So while Yolanda Adams and Demi Lovato sang on the 50-yard line at Hard Rock Stadium in Miami, I signed along on the 40."
"96","Good morning. It’s Caucus Day in Iowa, and a chunk of our newsroom is hunkered down in Des Moines, getting ready to report what’s happening into the night and early-morning hours of Tuesday. I hope you’ll follow along on our home page, and participate in our efforts to understand the news of the day and night."
"97","(Want to get this briefing by email? Here’s the sign-up.)"
"98","A former Coast Guard lieutenant who described himself as a white nationalist was sentenced Friday to more than 13 years in prison after pleading guilty last year to federal gun and drug charges."
"99","The first president to be impeached stood in the way of Reconstruction, fired a Cabinet member without the then-required Senate approval and brought “disgrace, ridicule, hatred, contempt and reproach” on Congress. The second who faced impeachment covered up the wiretapping and break-in at the opposing party’s headquarters. The third disgraced president had an affair with a White House intern, and then lied about it."
"100","MIAMI GARDENS, Fla. — The years since the Chiefs’ last Super Bowl victory have felt like decades and the decades like centuries in the Kansas City area, where season after season ended in emotional wreckage. The playoffs unspooled as if booby-trapped. Good teams cratered. Better ones collapsed. There are scars."
"101","Q: I own a co-op in Brooklyn that’s worth about $450,000. I would like to take some equity out of the apartment for other uses, but my options seem limited. Reverse mortgages are not allowed in co-ops. I am a senior and worry that I would not qualify for a HELOC because of my age. And I do not want a mortgage. What are my options?"
"102","WASHINGTON — President Trump did not waste any time Sunday night congratulating the Kansas City Chiefs for defeating the San Francisco 49ers in the Super Bowl."
"103","New York City health officials announced on Saturday that a patient at Bellevue Hospital Center might have the new coronavirus and that samples were being sent to the federal authorities for laboratory testing. If confirmed, it would be the first known instance of the virus in New York City."
"104","GREAT FALLS, Mont. — More than 125 years ago a band of Chippewa Indians in North Dakota, led by Chief Little Shell, claimed some 10 million acres as territory."
"105","In “Anatomy of a Scene,” we ask directors to reveal the secrets that go into making key scenes in their movies. See new episodes in the series each Friday. You can also watch our collection of more than 150 videos on YouTube and subscribe to our YouTube channel."
"106","Oftentimes when listening to one of the dozens of excellent investigative podcasts I struggle to commit to, I’ll think, “this would make a great TV show.” When watching “McMillions,” a documentary series premiering on HBO Monday night, mostly I thought, “this would make a great podcast.”"
"107","KNOXVILLE, Iowa — In the week before the Iowa caucuses, the state becomes a crazy place. Everyone wants to know what’s going on, so they ask people like me. I’m a small-town Iowa radio guy on the wrong side of 60 in suspenders, Carhartts and mud boots."
"108","Republicans in the Senate are poised to acquit Donald Trump without even truly putting him on trial."
"109","NEWTON, Iowa — Democrats had a certain vision for this."
"110","It takes a little over two hours to drive from Multan, a city in southern Punjab, to the village of Shah Sadar Din. After many checkpoints, where officers shake down the young men on motorbikes, some riding two or three at a time, their thin arms curled around each other’s waists, you’ll see a silty brown river snaking past men lounging on charpoys by its banks. On the way, if you admire the fields of sugarcane, each stalk taller than a man, your driver, a local who has played under the green sway of these plants as a child, will scoff. The ganna is short this year because there has been little water. He has seen these plants soar to fifteen feet. On the side of the road men and women stand by smoking steel vats, stirring a muddy treacle, folding crushed almonds and dried fruit into the soupy folds of the molasses. They sell packets of this liquid sugar along the highway."
"111","Their relationship started the way many do — Marguerite Valentin needed help and Elinora De La O wanted a job. As a home health aide, Ms. De La O warmed glasses of milk, took trips to the doctor and held Ms. Valentin’s hand when she could not fall asleep."
"112","Is this the week American democracy dies? Quite possibly."
"113","Students at Watkins College of Art in Nashville describe it as an oasis in the Bible Belt, a small supportive campus welcoming to all and committed to free expression."
"114","The week’s most popular dishes include Alison Roman’s caramelized shallot pasta (above), Gabrielle Hamilton’s cold candied oranges and J. Kenji López-Alt’s moo shu mushrooms. Find more recipes in the collection below."
"115","WASHINGTON — President Trump’s control of Senate Republicans is nearly complete."
"116","Americans are feeling better about the economy, a trend that, if it continues, could bolster President Trump’s prospects for re-election in November."
"117","An article on Thursday about Kryptos, a courtyard sculpture  at C.I.A.  headquarters, misstated the decryption at the end of Passage Two. The decryption of those letters is “XLAYERTWO,” not “LEVELTWO.”"
"118","The Senate voted on Friday nearly along party lines to block additional witnesses and evidence in President Trump’s impeachment trial, effectively accelerating the proceedings toward a final vote, which is expected to be held Wednesday."
"119","Did you watch the Super Bowl on Sunday? Were you rooting for Kansas City or San Francisco? Were you pleased with the final score? Were you surprised?"
"120","These are tough times for fireflies. Like a lot of other insects, they face increasing threats from habitat loss, pesticides and pollution. But they also have a problem that’s unique to luminous bugs: It’s getting harder for them to reproduce because light pollution is outshining their mating signals."
"121","Shortly before 9 p.m. Eastern on Monday, we expect the first returns from the Iowa Democratic caucuses. If you choose to follow the results live tonight, we hope you’ll do it with us: We’ll have results, analysis from our reporters and interactive maps."
"122","House impeachment managers and President Trump’s defense team delivered their closing arguments on Monday with an eye toward history, but with little hope of changing any senator’s mind."
"123","(Want to get this briefing by email? Here’s the sign-up.)"
"124","A woman in my knitting group recently asked if any of us knew where she could buy a gray wig. Though she seemed to have an ample head of hair, she reported that she’d been losing fistfuls every time she brushed or washed it. Obviously very upset about what was happening, she said she didn’t want to wait until she was bald to find a substitute for her naturally gray hair."
"125","Is this the week American democracy dies? Quite possibly."
"126","Students at Watkins College of Art in Nashville describe it as an oasis in the Bible Belt, a small supportive campus welcoming to all and committed to free expression."
"127","Running a street food cart is backbreaking work: schlepping around a heavy cart, then standing behind it for hours on end. Quitting the job would seem to be a gift to aching feet."
"128","These are tough times for fireflies. Like a lot of other insects, they face increasing threats from habitat loss, pesticides and pollution. But they also have a problem that’s unique to luminous bugs: It’s getting harder for them to reproduce because light pollution is outshining their mating signals."
"129","HONG KONG — Hong Kong’s government said Monday that it would close more border checkpoints, as some medical workers went on strike to demand a complete ban on entries from mainland China to limit the outbreak of the new coronavirus."
"130","An article on Thursday about Kryptos, a courtyard sculpture  at C.I.A.  headquarters, misstated the decryption at the end of Passage Two. The decryption of those letters is “XLAYERTWO,” not “LEVELTWO.”"
"131","LONDON — “1917,” Sam Mendes’s visually extravagant World War I drama that takes viewers into the chaos of the trenches was the big winner at the EE British Academy Film Awards on Sunday, taking seven awards including best film."
"132","DES MOINES — Across the face of Todd Bratten crept the queasy expression of a person trying to utter a word he does not know how to pronounce."
"133","The Super Bowl is a windfall for both the N.F.L. and for the corporations who burn wagons full of money on commercials. What is more American than that?"
"134","A woman in my knitting group recently asked if any of us knew where she could buy a gray wig. Though she seemed to have an ample head of hair, she reported that she’d been losing fistfuls every time she brushed or washed it. Obviously very upset about what was happening, she said she didn’t want to wait until she was bald to find a substitute for her naturally gray hair."
"135","DES MOINES — I’ve heard Joe Biden speak twice in Iowa over recent days. Both times, I walked away barely able to remember a single issue he mentioned. I had to check my notes. Ah, yes, guns: He touched on that. Climate change, too. That flitted by."
"136","The Senate voted on Friday nearly along party lines to block additional witnesses and evidence in President Trump’s impeachment trial, effectively accelerating the proceedings toward a final vote, which is expected to be held Wednesday."
"137","Everyone who has helped Justin Bieber’s “Love Yourself” video rack up 1.5 billion views knows that Keone and Mari Madrid can dance. And charm. Unlike some performers married to each other, they have plenty of onscreen chemistry — his happy-go-lucky manner rubbing against her more sober guardedness. They exhibit masterly ease in the style they call West Coast urban dance, with the quick precision to register a pop song’s every beat. As choreographers, they are clever and inventive but also sweet and sincere in their storytelling."
"138","HONG KONG — A 44-year-old man in the Philippines has died of the coronavirus, the first known fatality outside China, health officials said on Sunday, as the number of deaths jumped to more than 360 and other countries expanded travel restrictions in an effort to slow the spread of the outbreak."
"139","LONDON — A man armed with a knife and wearing a fake explosive device strapped to his body was shot and killed by the police in South London on Sunday after he was suspected of stabbing people on Sunday."
"140","CEDAR RAPIDS, Iowa — It is a public display of civic duty unique in American politics: Iowans on Monday night will stand in front of their neighbors and express their preference for a candidate for president. No curtains covering a voting machine. No private paper ballots. Just a declaration of loyalty before fellow Democrats."
"141","OTTUMWA, Iowa — As excellent as the Bernie Sanders event was — as excellent as it was to hear from the filmmaker Michael Moore and to eat Ben & Jerry’s ice cream scooped by the actual Ben and the actual Jerry, longtime Sanders supporters — it would have been even more excellent, was the general feeling, if Mr. Sanders himself had been able to come to Ottumwa."
"142","“If you’re going to be a halfhearted partner, then there’s no point to being in it at all.”"
"143","LONDON — The moment has arrived. Britain is out of the European Union. Prime Minister Boris Johnson and his “People’s Government” — it scarcely calls itself Conservative at this point — has fulfilled the promise on which it was elected in December and “got Brexit done.”"
"144","(Want to get this briefing by email? Here’s the sign-up.)"
"145","A former Coast Guard lieutenant who described himself as a white nationalist was sentenced Friday to more than 13 years in prison after pleading guilty last year to federal gun and drug charges."
"146","Everyone who has helped Justin Bieber’s “Love Yourself” video rack up 1.5 billion views knows that Keone and Mari Madrid can dance. And charm. Unlike some performers married to each other, they have plenty of onscreen chemistry — his happy-go-lucky manner rubbing against her more sober guardedness. They exhibit masterly ease in the style they call West Coast urban dance, with the quick precision to register a pop song’s every beat. As choreographers, they are clever and inventive but also sweet and sincere in their storytelling."
"147","LONDON — A man armed with a knife and wearing a fake explosive device strapped to his body was shot and killed by the police in South London on Sunday after he was suspected of stabbing people on Sunday."
"148","CEDAR RAPIDS, Iowa — It is a public display of civic duty unique in American politics: Iowans on Monday night will stand in front of their neighbors and express their preference for a candidate for president. No curtains covering a voting machine. No private paper ballots. Just a declaration of loyalty before fellow Democrats."
"149","HONG KONG — A 44-year-old man in the Philippines has died of the coronavirus, the first known fatality outside China, health officials said on Sunday, as the number of deaths jumped to more than 360 and other countries expanded travel restrictions in an effort to slow the spread of the outbreak."
"150","THE GREAT BEAUTY (2013) Stream on the Criterion Channel. Rent on Amazon, Google Play, iTunes, Vudu and YouTube. In Paolo Sorrentino’s “The New Pope,” a new episode of which airs tonight at 9 p.m. on HBO, the line between the sacred and the profane is vanishingly thin. The Roman Catholic Church, as Sorrentino presents it, is a throbbing tangle of contradictions where spirituality and corruption coexist in flamboyant contradiction, often within its individual members. Desire, he indicates, is omnipresent, but its object takes many different forms. This film covers similar territory in much the same way but on a greater scale. Its protagonist, Jep Gambardella (Toni Servillo), is an aging, hedonistic journalist who undertakes a journey to discover authentic beauty and give up its many alluring counterfeits."
"151","Four months ago, the Annals of Internal Medicine published a controversial report that encouraged people not to worry about the health risks of eating red and processed meat, contradicting decades of nutrition advice."
"152","As the first nominating contests approached, Democratic presidential candidates spent millions on ads and staff in the fourth quarter of 2019."
"153","Before his killing, Maj. Gen. Qassim Suleimani of Iran was everywhere. His persona is a clue into how the elite Quds Force he commanded operates."
"154","The number of confirmed coronavirus cases in the United States nearly doubled on Monday after federal officials announced that 14 Americans evacuated from a cruise ship in Japan and flown back to this country had tested positive for the virus. That brought the number of known cases in this country to 29."
"155","The asteroid moved 24 times faster than a rifle bullet as it struck Earth some 66 million years ago. Its supersonic shock wave flattened trees across North and South America, and its heat wave sparked incomprehensibly large forest fires."
"156","Here’s how important Iowa is to the seven candidates mounting competitive efforts there."
"157","In the more than two years since Harvey Weinstein was exposed as a sexual predator, the #MeToo movement has wrought a revolution in corporate governance — or so it would seem."
"158","The Wuhan coronavirus spreading from China is now likely to become a pandemic that circles the globe, according to many of the world’s leading infectious disease experts."
"159","MIAMI — A year ago, when Venezuela’s government seemed to be on the brink of collapse, the Venezuelan diaspora in South Florida buzzed with energy, holding rallies and hosting prominent political leaders, including Vice President Mike Pence, who embraced its cause of ousting the nation’s leftist president, Nicolás Maduro."
"160","Whether your escape of choice is football, J. Lo or Buffalo chicken dip, today is your day — it’s been quite a week. But first, here’s what you need to know in business and tech news before heading into Monday. "
"161","Five men are facing charges in the United States military tribunal at Guantánamo Bay of aiding the 19 men who hijacked passenger planes and crashed them into the World Trade Center, Pentagon and a Pennsylvania field on Sept. 11, 2001."
"162","To the Editor:"
"163","BEIJING — Forget the trade war. If the gravest challenge of the 21st century is finding ways that China and the United States can coexist competitively, the real danger is that an unexpected incident might trigger a conflict that neither side has anticipated or could possibly control. The likeliest potential flash point is the South China Sea."
