"","response.docs.lead_paragraph"
"31","Ulay, the performance artist whose provocative collaborations with Marina Abramovic often led them to push each other to extremes, died on Monday at his home in Ljubljana, Slovenia. He was 76."
"32","WASHINGTON — President Trump returned on Monday to his post-impeachment score-settling, withdrawing the nomination of Elaine McCusker to a top Defense Department post. Ms. McCusker had questioned the suspension of assistance to Ukraine, a central line of inquiry in the president’s impeachment."
"33","A new study examines YouTube’s efforts to limit the spread of conspiracy theories on its site,  from videos claiming the end times are near to those questioning climate change."
"34","“We’re like the field-goal kickers of baseball. We go over to the side and work on our stuff. No one wants to play catch with us.”"
"35","GENEVA — United Nations investigators said on Monday that Russia had committed war crimes in Syria by carrying out indiscriminate airstrikes on civilian targets in 2019, condemning tactics they said the Syrian government and its allies were still using in the northwest province of Idlib."
"36","To the Editor:"
"37","The sounds from the Super Bowl telecast echoed through the ballroom of Gracie Mansion, as the 100 or so guests, including many donors, mingled with Mayor Bill de Blasio."
"38","To the Editor:"
"39","Late last year a group of first-term House Democrats, anxious over the party’s fractious presidential race, convened a series of discussions intended to spur unity. Led by Representatives Colin Allred of Texas and Haley Stevens of Michigan, they considered issuing a collective endorsement of one moderate candidate."
"40","DALLAS — Senator Amy Klobuchar of Minnesota, who entered the Democratic presidential race with an appeal to moderate voters and offered herself as a candidate who could win in Midwestern swing states, dropped out of the race on Monday and endorsed a rival, former Vice President Joseph R. Biden Jr."
"41","On a day that saw the signing of a historic agreement with the Taliban and the first American death of the coronavirus outbreak, President Trump found himself veering off message on Saturday during both a news conference and a speech at the Conservative Political Action Conference."
"42","Late last year a group of first-term House Democrats, anxious over the party’s fractious presidential race, convened a series of discussions intended to spur unity. Led by Representatives Colin Allred of Texas and Haley Stevens of Michigan, they considered issuing a collective endorsement of one moderate candidate."
"43","DALLAS — Senator Amy Klobuchar of Minnesota, who entered the Democratic presidential race with an appeal to moderate voters and offered herself as a candidate who could win in Midwestern swing states, dropped out of the race on Monday and endorsed a rival, former Vice President Joseph R. Biden Jr."
"44","This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday."
"45","LOS ANGELES — Latino voters are poised to pick the Democratic nominee."
"46","Welcome to the Coronavirus Briefing, a new newsletter from The New York Times. Sign up to get it by email here. "
"47","A new study examines YouTube’s efforts to limit the spread of conspiracy theories on its site,  from videos claiming the end times are near to those questioning climate change."
"48","BEMIDJI, Minn. — The planned route for this pipeline runs past small Northwoods towns populated with union laborers. It cuts across one Native American reservation, while steering around another. And it slices through the fragile coalition that has delivered Minnesota to Democrats in 11 consecutive presidential elections."
"49","Lunchtime in the cafeteria at the Institute for Advanced Study in Princeton, N.J. — sometimes called the Institute for Advanced Dining — is a heady scene, and Freeman Dyson, who died last week at 96, was a regular fixture, arriving with reading material tucked under his arm."
"50","See the looks from the Louis Vuitton: Fall 2020 Collection."
"51","LINDALE, Texas — A small group of women at a recent City Council meeting held hands and offered hushed prayers in an otherwise silent room."
"52","American officials are scrambling to ramp up testing for the coronavirus, after weeks of setbacks and missteps that may have allowed the virus to gain a foothold."
"53","After a month focused on caucuses, primaries and debates in four states, the Democratic campaign is moving on. Super Tuesday, when 15 states and territories vote, presents a whole new map that could shake up the narrative of the race."
"54","With less than five months left before the Tokyo Olympics, the governing body for gymnastics in the United States has proposed a multimillion-dollar legal settlement to close a dark and painful chapter in which hundreds of gymnasts were sexually assaulted by a former team doctor."
"55","Stanislaw Kania, who as Poland’s Communist leader for 13 tumultuous months in the early 1980s steered a delicate course for his country, avoiding both open confrontation with Solidarity, the rising independent labor movement, and military intervention by the Soviet Union, died on Tuesday in Warsaw. He was 92."
"56","Bobbie Battista, one of the original anchors of CNN Headline News and a veteran of various anchor jobs at CNN over two decades, died on Tuesday in Davenport, Iowa, where she lived. She was 67."
"57","Every year, hundreds of departing employees at Bloomberg L.P. are presented with a choice: Either leave the company empty-handed or accept a generous financial package and agree to never speak ill of the company. Many take the money."
"58","How understanding the mind of a radical Islamist can prevent the next white-nationalist attack."
"59","More than 550,000 people in the United States are homeless on any given night. More than 18 million spend more than half of their income on housing. And there is no state in which the number of affordable homes matches the number of low-income households."
"60","BERLIN — The tradition has persisted for nearly two centuries in what is now Germany, through wars, epidemics and revolutions. Before dawn on the bitterest of winter mornings, vintners harvest grapes that are frozen on the vine, pressing them before they thaw to produce a small quantity of exquisitely concentrated sweet white wine."
"61","Lunchtime in the cafeteria at the Institute for Advanced Study in Princeton, N.J. — sometimes called the Institute for Advanced Dining — is a heady scene, and Freeman Dyson, who died last week at 96, was a regular fixture, arriving with reading material tucked under his arm."
"62","Welcome to the Coronavirus Briefing, a new newsletter from The New York Times. Sign up to get it by email here. "
"63","When the Brooklyn Book Festival, considered the East Coast’s largest free literary event, started in 2006, “I saw only about 10 literary festivals in the United States,” said Liz Koch, the co-producer. “Now, there are more than double that, with smaller regional ones that many don’t even know about.”"
"64","To the Editor:"
"65","Dave Burd was brushing his teeth when he started crying."
"66","David Hallberg, the American Ballet Theater principal, will be the new artistic director of the Australian Ballet, beginning in January 2021, the company announced today. He will succeed David McAllister, who has held the position for almost 20 years."
"67","As governments seek to contain the economic damage from the coronavirus outbreak, expect to hear two words that have been absent from the Washington lexicon for years: fiscal stimulus."
"68","Jackfruit, said to be the world’s largest tree fruit, has become an ingredient of choice among vegans for its ability to masquerade as meat, notably as pulled pork in barbecue dishes. But for the new Seril’s Chakka Chips, jackfruit doubles for mango. The crisp, golden, tart-sweet petal-like pieces are simply fried in coconut oil. The company’s owner, Seril James, said he was inspired by snacks his grandmother in Kerala, India, used to make for him."
"69","See the looks from the Louis Vuitton: Fall 2020 Collection."
"70","On March 21, 2019, the staff at the Penn Memory Center in Philadelphia was scrambling to learn more about an early-morning announcement: Two pharmaceutical companies, Biogen and Eisai, would discontinue their clinical trial of a drug intended to slow the progression of early Alzheimer’s disease."
"71","Every year, hundreds of departing employees at Bloomberg L.P. are presented with a choice: Either leave the company empty-handed or accept a generous financial package and agree to never speak ill of the company. Many take the money."
"72","How understanding the mind of a radical Islamist can prevent the next white-nationalist attack."
"73","Le Crocodile, in Brooklyn, is a modern take on the brasserie."
"74","After a month focused on caucuses, primaries and debates in four states, the Democratic campaign is moving on. Super Tuesday, when 15 states and territories vote, presents a whole new map that could shake up the narrative of the race."
"75","More than 550,000 people in the United States are homeless on any given night. More than 18 million spend more than half of their income on housing. And there is no state in which the number of affordable homes matches the number of low-income households."
"76","BERLIN — The tradition has persisted for nearly two centuries in what is now Germany, through wars, epidemics and revolutions. Before dawn on the bitterest of winter mornings, vintners harvest grapes that are frozen on the vine, pressing them before they thaw to produce a small quantity of exquisitely concentrated sweet white wine."
"77","SAN FRANCISCO — The Silicon Valley venture capitalist Keith Rabois, onstage in January at a tech conference, said his first choice for president was a Democrat, Pete Buttigieg."
"78","With less than five months left before the Tokyo Olympics, the governing body for gymnastics in the United States has proposed a multimillion-dollar legal settlement to close a dark and painful chapter in which hundreds of gymnasts were sexually assaulted by a former team doctor."
"79","Stanislaw Kania, who as Poland’s Communist leader for 13 tumultuous months in the early 1980s steered a delicate course for his country, avoiding both open confrontation with Solidarity, the rising independent labor movement, and military intervention by the Soviet Union, died on Tuesday in Warsaw. He was 92."
"80","Bobbie Battista, one of the original anchors of CNN Headline News and a veteran of various anchor jobs at CNN over two decades, died on Tuesday in Davenport, Iowa, where she lived. She was 67."
"81",""
"82",""
"83","As Bernie Sanders has taken the lead in the Democratic primary, those of us with doubts that America would elect a Jewish democratic socialist president have been able to comfort ourselves with polls showing him beating Donald Trump, often by larger margins than his competitors."
"84","Louisiana, with nearly one million women of reproductive age, now has only three abortion clinics. A woman who chooses to have an abortion — as about a quarter of American women do — must make her way to one of those facilities, where she will be legally required to sit through counseling intended to discourage her from having the procedure as well as an ultrasound that must be shown and described in detail to her. She then must wait at least 24 hours before returning to the clinic for the procedure. If she is a Medicaid patient, her bill will most likely be hundreds of dollars paid out of pocket."
"85","What if the heartbeat bills — those bans on abortion as early as six weeks into a pregnancy that made headlines last spring in states from Georgia to Missouri — were not the real story? What if the most serious threat to Roe v. Wade were far more subtle — and based on arguments similar to those that the Supreme Court has already rejected?"
"86","Most adults in the United States should be screened for hepatitis C, according to guidelines published Monday, as the opioid crisis and more prevalent use of illicit injected drugs have driven a nearly fourfold increase in new cases over the last decade."
"87","We still don’t know how much damage Covid-19 — the coronavirus disease — will do, but it’s reasonable to be very concerned. After all, it appears to be highly transmissible, and it is probably a lot more lethal than ordinary flu."
"88","SHREVEPORT, La. — Kathaleen Pittman, the director of the Hope Medical Group for Women, remembers when there were 11 abortion clinics in Louisiana. Now there are only three, hers among them. Soon, depending on how the Supreme Court rules in a case to be argued on Wednesday, there may be just one, in New Orleans, more than 300 miles away."
"89","In an industrial area west of Chicago’s O’Hare International Airport, more than 6,000 miles from China, Michael Smerling is steeling himself for a devastating blow from the coronavirus outbreak."
"90","Want to improve your chance of staying healthy? Stop touching your face!"
"91","LONDON — Every workday, Al-Hakim arrives at one of London’s largest public hospitals for a shift as a cleaner, earning little more than minimum wage even though his latest job includes disinfecting rooms reserved for suspected coronavirus patients."
"92","What should parents do if their teens and tweens, with easy access to information on their phones and laptops, develop anxiety over what they have heard about the coronavirus?"
"93","— Malli Gero, a co-founder of 2020 Women on Boards"
"94","The small town in the Ojai Valley, 80 miles north of Los Angeles, is quiet and geared toward spiritual enlightenment. But it’s not cheap."
"95","HANGZHOU, China — As China encourages people to return to work despite the coronavirus outbreak, it has begun a bold mass experiment in using data to regulate citizens’ lives — by requiring them to use software on their smartphones that dictates whether they should be quarantined or allowed into subways, malls and other public spaces."
"96","THE POWER NOTEBOOKSBy Katie Roiphe"
"97","BOGOTÁ, Colombia — A top court in Colombia is expected to rule in the coming days on whether to permit abortion during the first months of a pregnancy, a decision that could be a landmark in Latin America and have a ripple effect across a region known for its restrictive laws."
"98","Welcome to Group Text, a monthly column about novels, memoirs and story collections that make you want to talk, ask questions and linger for a while in another world. For many book groups, it’s hard enough to figure out when to meet, whose turn it is to host and whether or not to add or subtract members. Group Text addresses the main event: what to read, with a focus on propulsive, thought-provoking, discussion-worthy books. This month’s pick is WRITERS & LOVERS (Grove, 324 pp., $27), by Lily King — a story of loss, love and growing up after a decade of adulthood."
"99","Since its first detection in China in December, the coronavirus has spread across the globe, to every continent except Antarctica. "
"100","Soon after Ciara Lo arrived in Bologna, Italy, from her native Hong Kong last month, her wallet was stolen. But when she went to file a police report, she was told she would have to wait outside, she said. And when the 22-year-old student tried to open a bank account, she said she was turned away — by an employee who made a remark about the coronavirus."
"101","Want to improve your chance of staying healthy? Stop touching your face!"
"102","[This article is part of the developing coronavirus coverage, and may be outdated. Go here for the latest on the coronavirus.]"
"103",""
"104","BOGOTÁ, Colombia — A top court in Colombia declined to legalize abortion on Monday, disappointing abortion rights supporters who had hoped the case would herald a shift in Latin America and encourage other nations in the region to liberalize their laws."
"105","Eleven-year-old Maximiliano Córdoba is full of wondering. He wonders about his mother, who disappeared when he was a baby. He wonders about the stories and legends of his small town, which exists in the fictional nation of Santa Maria, “somewhere in the Américas.” He wonders why his father — a bridge-builder — is so overprotective, solemn and secretive."
"106","MUMBAI, India — The spreading coronavirus may soon affect people’s health in a different way: The outbreak is now starting to hurt the supply of essential drugs."
"107","New York officials warned on Monday that the coronavirus was likely to spread in New York City, a day after confirming that a Manhattan woman had contracted the virus while traveling in Iran and was now isolated in her home."
"108","OJAI, Calif. — The famous sunsets in Ojai — often capped by a phenomenon called “the pink moment,” when the light hits the Topatopa Mountains just so, bathing the Ojai Valley in shades of pink — weren’t the only reason that Phylies and Michio Kusama chose to resettle there. But they certainly didn’t hurt."
"109","Howard Wolinsky is a medical journalist in Flossmoor, Ill., who knows better than to go forward with potentially life-changing surgery without first seeking a second opinion."
"110","For many of us, microaggressions are so commonplace that it seems impossible to tackle them one at a time. Psychologists often compare them to death by a thousand cuts."
"111","No corrections appeared in print on Monday, March 2, 2020. "
"112","JERUSALEM — Heading into the third Israeli election in a year, the candidates got desperate. And things got ugly."
"113","To the Editor:"
"114","PARIS — The weekend began in the gilded salons of the Ministry of Foreign Affairs, a grand mid-19th-century building on the banks of the Seine where the foundation of the European Union was laid and where Friday night Diane von Furstenberg received the honor of the Chevalier de Legion d’Honneur from Christine Lagarde, president of the European Central Bank, in recognition of Ms. von Furstenberg’s services to women and to the refurbishment of the Statue of Liberty. Symbol of freedom, tolerance, welcome, you know."
"115","Kobe Bryant’s widow was “absolutely devastated” by reports that Los Angeles County sheriff’s deputies had shared graphic photos of the helicopter crash scene where her husband, their 13-year-old daughter and seven others were killed, her lawyer said in a statement on Sunday."
"116","MILAN — The camera focused on a woman reading a prayer for people infected with the coronavirus, and for the doctors and nurses helping Italy deal with the largest outbreak in Europe."
"117","(Want to get this briefing by email? Here’s the sign-up.) "
"118","See the looks from the Thom Browne: Fall 2020 Collection."
"119","SUMTER, S.C. — In October, Pete Buttigieg said he would do better with South Carolina’s black voters once they got to know him better."
"120","See the looks from the Valentino: Fall 2020 Collection."
"121","WASHINGTON — The United States Air Force is set to have its first black service chief, Defense Department officials said on Monday."
"122","Before the South Carolina Democratic primary, many in elite political circles were writing the Joe Biden campaign’s obituary. And they were enjoying it."
"123","(Want to get this briefing by email? Here’s the sign-up.) "
"124","The Democratic Party has long advocated strong government, paired with the power of markets, to achieve broad economic well-being. But for the first time in the five decades I’ve been involved in Democratic policy and politics, the fundamental structure of our market-based economic system is being seriously debated. A recent Gallup poll found that a majority of young Americans have a positive view of socialism — however amorphously defined — while their opinion of capitalism has declined."
"125","SAN FRANCISCO — More than a decade after Google started experimenting with driverless cars, Waymo, the autonomous vehicle unit of Google’s parent company, Alphabet, says it has raised $2.25 billion, mostly from outside investors."
"126","CHARLOTTE, N.C. — President Trump inserted himself on Monday into the Democratic presidential nomination contest on the eve of its biggest day, belittling the resurgent Joseph R. Biden Jr. as a feebleminded has-been while fanning resentment among supporters of Bernie Sanders."
"127","SANTA CRUZ, Calif. — Kris Weems, the coach of the Santa Cruz Warriors, had a new player in the gym for his team’s practice on Monday morning, and Weems wasted almost no time throwing him into the mix. The problem, Weems discovered, was that Stephen Curry did not always listen to directions."
"128","Some shows play things close to the vest as long as they can, and reveal their intentions progressively. “Tumacho” is not one of them."
"129","When “There Is No Evil,” the new drama by the celebrated Iranian director Mohammad Rasoulof, debuted at the Berlin Film Festival on Friday, it was a bittersweet moment for Rasoulof."
"130","One transgender barista said his supervisors kept writing “Jessica” instead of Jay on his work schedule."
"131","When “There Is No Evil,” the new drama by the celebrated Iranian director Mohammad Rasoulof, debuted at the Berlin Film Festival on Friday, it was a bittersweet moment for Rasoulof."
"132","The Democratic Party has long advocated strong government, paired with the power of markets, to achieve broad economic well-being. But for the first time in the five decades I’ve been involved in Democratic policy and politics, the fundamental structure of our market-based economic system is being seriously debated. A recent Gallup poll found that a majority of young Americans have a positive view of socialism — however amorphously defined — while their opinion of capitalism has declined."
"133","CHARLOTTE, N.C. — President Trump inserted himself on Monday into the Democratic presidential nomination contest on the eve of its biggest day, belittling the resurgent Joseph R. Biden Jr. as a feebleminded has-been while fanning resentment among supporters of Bernie Sanders."
"134","SANTA CLARA, Calif. — Since last spring, workers at Intel who turned on their corporate laptops or wall displays inside the company’s more than 1,000 conference rooms have seen a new tagline: “One Intel.”"
"135","CHARLESTON, S.C. — Joe Biden scored a resounding victory in South Carolina."
"136","WASHINGTON — The United States Air Force is set to have its first black service chief, Defense Department officials said on Monday."
"137","Before the South Carolina Democratic primary, many in elite political circles were writing the Joe Biden campaign’s obituary. And they were enjoying it."
"138","(Want to get this briefing by email? Here’s the sign-up.) "
"139","How well did you follow the news this past week? How many of these 10 questions can you get right?"
"140","Follow the latest on coronavirus in the U.S. "
"141","The Democratic Party has long advocated strong government, paired with the power of markets, to achieve broad economic well-being. But for the first time in the five decades I’ve been involved in Democratic policy and politics, the fundamental structure of our market-based economic system is being seriously debated. A recent Gallup poll found that a majority of young Americans have a positive view of socialism — however amorphously defined — while their opinion of capitalism has declined."
"142","CHARLOTTE, N.C. — President Trump inserted himself on Monday into the Democratic presidential nomination contest on the eve of its biggest day, belittling the resurgent Joseph R. Biden Jr. as a feebleminded has-been while fanning resentment among supporters of Bernie Sanders."
"143","James Lipton, who died on Monday at the age of 93, made his name conducting in-depth interviews of actors, comedians, filmmakers and others on the long-running series “Inside the Actors Studio” when it was on Bravo TV. Though Lipton could come off as self-important or sycophantic, and was parodied more than once, there’s a reason the show was a hit. He got good stuff."
"144","See the looks from the Miu Miu: Fall 2020 Collection."
"145","The rap group Public Enemy said it was “moving forward” without Flavor Flav after he raised objections that Senator Bernie Sanders’s presidential campaign had made it appear that the group was backing his candidacy."
"146","Texture, appearance and flavor: These are the elements of meat that the new vegan alternatives from Impossible Foods and Beyond Meat are trying to capture, with varying degrees of success. Here’s how they do it:"
"147","A 22-year-old California man was sentenced to 66 months in federal prison on Monday after cyberstalking and threatening to kidnap relatives of those killed in the 2018 mass shooting at Marjory Stoneman Douglas High School in Parkland, Fla., federal prosecutors said."
"148","SAN FRANCISCO — Many iPhone owners believe Apple purposely slowed down their old devices as it released new ones. Now some of them might be in line for a small payday: Apple has agreed to pay some iPhone owners about $25 each to settle such complaints."
"149","We heard the explosion, likely a car bomb. There were many that day. Thirty minutes later, three Humvees came barreling around the corner of nearby buildings with wounded civilians on their hoods and packed inside. They pulled up to our trauma-stabilization point, a makeshift medical unit in an abandoned home on the outer edge of Mosul, less than three miles from the front line. It was November 2016, and the operation to clear the city of ISIS fighters was fully underway. As we lifted the casualties onto stretchers, Pete, the lead medic of the team, shouted out their triage status: “Two red, three yellow, three green!” — meaning two critically wounded, three moderately injured and three walking wounded. One was a very small girl with a head wound that wouldn’t stop bleeding."
"150","WASHINGTON — A series of high-profile Republican retirements and a growing base of Democratic voters have made congressional races in Texas some of the country’s most crowded and closely watched."
"151","BOSTON — Students and teachers at the private St. Raphael Academy in Rhode Island had recently returned from a study trip to Italy and two other countries last week when a travel advisory was issued warning of a coronavirus outbreak there."
"152","MUMBAI, India — The spreading coronavirus may soon affect people’s health in a different way: The outbreak is now starting to hurt the supply of essential drugs."
"153","[This article is part of the developing coronavirus coverage, and may be outdated. Go here for the latest on the coronavirus.]"
"154","The list of reasons that the Federal Reserve shouldn’t have cut interest rates on Tuesday is long."
"155","(Want to get this briefing by email? Here’s the sign-up.)"
"156","Visitors to the Catskills are likely to be familiar with the Phoenicia Diner on Route 28 near Esopus Creek, known for fly-fishing and tubing. The diner is a classic in the genre; it opened in 1962, was moved to its present location in the 1980s and fell on hard times until Mike Cioffi, who was in scenery construction for shows, bought it, fixed it up and reopened it in 2012. The cookbook reflects the diversity of the diner menu, and of the region. There are a number of Mexican dishes, alongside soft scrambled eggs with smoked trout from the chapter on breakfast all day; kimchi in sandwiches; and several recipes for grits, thanks to the chef, Chris Bradley from North Carolina, who is also an author. Some dishes call for local nettles, mushrooms and ramps. Essays on moonshine, the borscht belt and folk music are included."
"157","The Yankees are likely to be without two star players, the outfielders Aaron Judge and Giancarlo Stanton, for opening day on March 26 against the Orioles in Baltimore, General Manager Brian Cashman told reporters at the team’s spring training facility in Tampa, Fla., on Tuesday. Both could return as soon as April."
"158","See the looks from the Alexander McQueen: Fall 2020 Collection."
"159","It’s hard to remember an Election Day with so much uncertainty as voters go to the polls."
"160","WASHINGTON — Iran’s growing stockpile of nuclear fuel recently crossed a critical threshold, according to a report issued Tuesday by international inspectors: For the first time since President Trump abandoned the 2015 nuclear deal, Tehran appears to have enough enriched uranium to produce a single nuclear weapon, though it would take months or years to manufacture a warhead and deliver it over long distances."
"161","At Chez Ma Tante in Brooklyn, the first restaurant Aidan O’Neal and Jake Leiber ran together, early press reports portrayed Mr. O’Neal as the executive chef and Mr. Leiber as his second in command. But in interviews they gave — always in tandem — it was clear that they were equal partners and that they agreed about everything from their preferred cooking surface (Teflon) to the ideal art to hang in the dining room (none)."
"162","GREENVILLE, S.C. — Joe Biden did what he had to do, and then some. Now, his supporters say, it is time for fellow moderates to do the same."
"163","In 1739, a group of Africans enslaved in Stono, S.C., revolted and fled for freedom. Very few made it. The rebellion was crushed, and its clearest outcome was the terrified slaveholders’ reaction: the Negro Act of 1740, which restricted the assembly of slaves and their use of instruments helpful in gathering groups, notably drums."
"164","A college recruiter from Oklahoma Christian University is no longer working for the school after he told a group of high school students to line up organized by their skin color and hair texture, officials said on Tuesday."
"165","The Trump administration has struck another blow to common-sense management of public lands in the West. Virtually all the spectacular country neighboring the Escalante River in the Grand Staircase-Escalante National Monument in Utah will be reopened to cattle grazing, thanks to a new plan for managing the monument released by the Interior Department last month."
"166","“Designing Women” is under renovation."
"167","THE LOST FAMILYHow DNA Testing Is Upending Who We AreBy Libby Copeland"
"168","BARN 8 By Deb Olin Unferth"
"169","Recently Maryellen Stewart, a freelance copywriter for luxury brands, was window-shopping in SoHo when she noticed a large sign in a restaurant window advertising a “curated” menu."
"170","With the death toll from the coronavirus surpassing 3,000 worldwide, the ramifications have spread to nearly every aspect of life, with sports no exception. Events major and minor have been canceled, moved or postponed, as athletes, officials and spectators worry about the spread of the virus."
"171","Featured Article: “Should Robots Have a Face?” by Michael Corkery"
"172","TEL AVIV — For passengers hurrying through the departures hall of Israel’s main airport on Sunday, many with their faces covered by masks, there was one big conundrum: Should they stay or should they go?"
"173"," [Want to get New York Today by email? Here’s the sign-up.]"
"174","Can you find Indonesia on a map? What else do you know about this island nation with about 270 million people?"
"175","MILAN — The camera focused on a woman reading a prayer for people infected with the coronavirus, and for the doctors and nurses helping Italy deal with the largest outbreak in Europe."
"176","Kobe Bryant’s widow was “absolutely devastated” by reports that Los Angeles County sheriff’s deputies had shared graphic photos of the helicopter crash scene where her husband, their 13-year-old daughter and seven others were killed, her lawyer said in a statement on Sunday."
"177","Good morning. The mornings have been crisp and clear here in Los Angeles and the eating sublime, though I miss my kitchen and the ability to cook for others instead of simply eating what others cook. I’m looking forward to a return flight, to a run to the greengrocer, to the chance to make Alexa Weibel’s new recipe for creamy Swiss chard pasta (above). Or maybe her recent take on the Japanese beef bowl known as gyudon? That could be great! Depends on the weather when I land, on my mood, on what’s available. Choice is so exciting!"
"178","ORESTIADA, Greece — Greece took a raft of tough measures Sunday as it tried to repel thousands of migrants amassed at its border with Turkey."
"179","WASHINGTON — Intelligence briefers regularly present President Trump with a classified map of Afghanistan, usually the only report on the war he examines, displaying the strikes carried out in recent days and, critically, the number of Taliban and other militants killed."
